worker_ref_id,bonus_amount,bonus_date
1872,8528,06:34.8
5587,2510,14:47.2
631,8158,31:25.2
7737,2505,31:25.8
1677,1433,08:42.6
3895,2506,05:32.2
8330,7777,08:34.0
3047,4548,49:43.7
6842,4591,17:08.5
1263,4633,53:57.8
3986,9132,07:29.8
5598,8693,37:42.8
8178,2478,27:21.1
3757,8472,12:58.3
1063,5245,02:14.7
8222,7765,28:28.5
293,9961,10:37.8
5643,7183,23:29.7
5558,7699,46:22.9
3388,4588,38:55.7
4337,3431,12:40.0
6004,5607,43:27.8
7527,4956,28:18.6
5079,4092,10:44.7
2018,6646,56:39.8
68,6862,24:42.4
298,8267,05:01.9
6140,4882,12:43.9
9878,3635,36:35.8
4247,4403,46:42.9
6147,4438,26:59.3
5756,2216,23:36.5
2016,1110,16:12.2
267,5576,13:28.8
1338,4417,32:29.2
1195,1496,00:07.1
2425,5517,15:10.1
8707,5281,43:53.3
5298,7909,45:04.6
7027,4047,02:54.0
669,8933,41:19.0
9491,2853,41:00.9
287,2578,31:58.1
8913,1453,31:46.9
216,2229,39:01.8
5402,4705,34:59.6
5348,5236,46:58.2
96,3036,11:48.5
2921,5969,35:26.2
8606,1531,14:42.2
2864,4575,46:47.8
2454,2317,43:50.0
5190,4188,47:35.1
2087,9833,30:52.9
9070,1661,33:53.3
2234,2734,19:21.7
8406,6186,49:49.4
3047,8578,57:42.7
6184,3200,05:29.0
1209,5015,25:31.4
3876,5242,52:45.0
6421,9418,54:48.1
1035,7363,51:43.5
7208,3378,13:27.7
2070,8580,19:54.8
6192,9159,23:38.4
1885,6512,32:25.4
8830,7503,39:14.2
7353,8304,43:04.8
2813,9027,43:41.5
7880,8882,23:07.1
9020,4347,13:25.5
7411,5195,25:38.4
6100,4331,22:41.5
8178,8168,37:39.4
5891,9194,58:37.5
9982,5601,32:32.1
4470,7760,48:47.2
293,5445,12:46.5
8235,4094,40:59.4
4671,4709,46:16.9
9098,8734,11:03.8
1558,3955,24:00.5
9434,4618,22:07.0
3720,1067,58:16.9
7451,1389,02:40.7
4639,6200,14:18.4
409,9235,18:01.8
8974,5371,28:39.5
7169,2420,34:31.9
6157,6211,44:00.5
5324,2713,17:40.3
9826,2716,21:12.4
2756,3974,12:51.0
3134,3039,55:24.7
8444,6694,29:40.2
6777,7105,34:33.8
7750,6749,59:21.2
4936,4425,20:49.3
1087,3961,52:01.0
2167,9204,12:50.8
3062,8225,20:18.8
3102,4854,33:51.0
1904,9784,01:19.0
4486,4744,57:18.0
364,3074,59:59.9
3484,2048,10:15.6
8880,5328,39:31.3
3869,4326,07:48.8
9896,7479,27:56.5
9988,1233,35:45.7
8476,1924,34:39.2
256,5995,18:10.6
5993,1072,01:30.0
7128,7397,50:00.6
1596,9270,21:01.2
5015,8763,06:51.1
672,6047,42:05.2
5363,1927,10:13.8
896,7985,08:56.0
8500,1877,12:36.4
856,5317,13:46.8
9685,1868,44:11.7
1312,9200,33:23.0
5316,8495,00:35.1
594,3849,54:16.8
2657,3076,08:28.2
8407,7277,14:40.1
1581,3060,18:16.2
2353,5479,49:13.8
9252,4423,58:45.9
8179,5435,30:17.0
2477,6901,53:45.8
1367,5083,39:17.3
9175,1979,06:34.8
3476,1360,22:08.3
3309,9668,06:11.6
7369,9136,36:37.2
4848,6503,19:33.8
7849,6266,27:18.2
2357,6509,53:54.6
8989,3124,37:33.5
5100,5648,03:46.4
1703,7327,17:11.1
2078,9027,50:54.5
119,2425,51:22.3
6680,5039,48:09.8
8322,6772,26:46.1
604,8992,11:57.1
8861,3966,14:26.2
7764,9486,04:05.3
7444,7834,42:01.4
1909,3448,36:13.9
7308,4417,27:35.5
3688,4731,23:30.4
3105,5169,42:02.6
8922,5634,06:36.0
8336,5130,59:00.2
125,5814,09:44.0
9033,6654,15:09.2
5128,8811,36:02.4
2307,7795,21:06.4
4000,6973,51:04.0
7868,7453,18:01.0
8877,6233,28:41.1
31,2477,20:35.1
5810,2216,54:18.2
8751,9524,28:26.6
1701,1333,12:13.3
5402,9307,01:01.6
1661,7461,48:40.6
8621,3725,13:03.1
7340,4244,17:28.6
748,6512,42:59.2
9562,8124,55:46.7
6525,9802,08:11.0
8053,5201,58:14.3
8244,2779,27:32.5
3791,8554,50:44.9
1566,1461,29:45.6
8808,8886,21:31.9
2237,8069,43:28.8
8956,5488,32:53.7
1534,2685,42:58.5
9182,8380,28:29.6
3713,3815,27:23.2
4735,8106,03:20.5
7423,2625,13:09.9
543,1339,24:10.8
407,1067,45:09.8
5587,4142,27:31.5
711,3558,17:21.2
6660,4404,50:59.2
209,5679,21:06.0
1100,6304,29:34.3
4326,6770,39:01.3
7217,3070,46:52.1
5939,8106,25:59.1
4211,3788,40:05.1
8299,8837,21:35.9
7075,7709,49:49.0
1675,6230,17:02.0
872,1911,33:29.8
694,7769,09:10.3
4580,8930,20:56.0
8987,3375,17:50.7
8503,1685,56:02.5
3958,7551,37:25.7
3732,2279,01:17.6
478,2244,50:50.9
2506,1017,32:40.0
8891,6962,55:56.3
2329,8800,17:24.4
7965,9005,01:13.8
5149,3519,15:26.8
5677,7346,01:21.4
9714,8480,50:01.7
537,7270,40:01.7
235,1187,13:50.1
4321,2956,52:29.5
9399,9284,48:19.4
9991,2860,17:56.9
3927,5407,57:02.0
7982,5827,18:44.5
3260,5008,54:54.3
2740,3094,33:29.9
9817,6507,38:29.6
2917,7474,03:51.0
5172,2293,12:02.6
2945,5088,33:37.8
8096,4376,40:15.9
4999,1069,07:54.0
2659,3061,17:39.0
1162,1098,32:50.8
7503,5722,57:30.5
2239,5308,06:22.8
337,5261,33:46.6
8277,5259,10:56.8
3138,4701,02:12.1
3908,1027,57:21.0
3050,1298,39:36.3
4489,3895,32:02.0
2365,7639,40:32.1
9808,4069,29:11.0
1925,1942,46:20.8
8087,6459,25:13.9
8,3245,29:17.6
4254,3109,42:45.0
4864,6042,00:43.5
5207,1261,12:55.4
3795,7143,46:57.8
3793,8513,22:00.8
210,3212,25:32.8
8534,9603,22:29.0
9705,5980,28:56.4
8275,5716,36:59.6
456,7990,15:00.8
9158,6071,22:26.2
4213,5145,16:35.6
2138,9805,36:58.1
9777,9824,08:41.3
6976,5829,06:19.3
3573,7328,40:32.3
5638,2860,17:06.9
2705,3517,05:57.4
2312,3130,37:10.7
1736,5007,20:10.7
3063,2248,58:19.0
3498,7623,53:23.7
316,9285,00:32.4
5082,3176,23:28.8
122,5248,55:37.0
4595,8736,42:47.5
1318,4311,05:49.6
1269,5484,08:21.8
9060,7322,00:26.1
4147,8074,55:54.0
9825,4772,10:00.4
6305,2897,59:01.0
1743,5427,42:18.6
1295,8601,23:10.7
4202,2502,53:15.0
9435,2337,45:25.0
7648,4140,36:13.3
2080,4959,39:29.1
1583,6649,06:43.5
1195,8387,51:39.8
1652,6245,33:20.3
4189,6775,37:27.0
3169,9262,49:53.3
7272,4112,19:39.1
7734,4681,28:32.2
4813,1532,51:39.7
2234,9172,23:01.5
7690,1460,31:30.0
3257,9837,05:26.8
1623,1402,33:22.6
3852,5882,19:15.4
8194,4729,43:14.6
3305,8657,22:57.2
5954,6987,41:46.7
2137,7295,37:19.3
9068,7490,22:01.3
5762,1098,06:09.3
538,5362,44:22.8
8276,6259,49:29.7
3860,5803,39:35.8
9324,4128,18:12.0
7604,8668,45:28.1
7883,2728,12:34.6
3270,9297,06:09.7
6480,4512,12:45.2
3802,6212,22:48.6
5039,6695,35:16.0
8467,7405,31:19.7
34,8708,15:21.0
1453,6505,46:27.2
758,8723,24:09.6
4334,6711,09:30.0
6639,1272,24:24.5
7631,3780,43:04.6
5326,7380,48:54.5
1274,5918,59:44.5
1970,7649,40:03.6
7080,9636,07:43.4
9809,6580,50:25.4
4542,1337,57:01.0
4845,2761,48:39.7
2700,5272,30:23.9
8716,4088,56:14.8
3341,4857,02:37.0
6282,2457,15:59.2
894,1640,24:49.6
8692,9787,57:22.4
1723,8004,37:03.2
3838,6671,09:02.8
1831,6356,42:10.8
9077,1026,08:03.5
1604,6844,22:33.0
2660,1005,54:36.1
3674,1144,48:32.1
7062,4805,20:17.0
7768,5120,55:12.0
8702,1469,01:57.0
2165,6103,29:53.3
601,2348,58:52.1
3531,9680,59:35.8
2846,2553,27:19.4
7119,5459,48:25.3
982,5279,26:22.1
5712,7969,47:18.7
2149,7182,44:39.9
2761,6623,58:34.6
4698,8624,46:26.5
9010,9276,59:16.9
5162,2275,16:45.9
412,5104,40:23.8
2509,9285,33:31.6
1056,2027,31:09.0
9623,8584,21:02.3
3444,8676,31:36.7
8503,9934,10:07.0
6463,2199,37:52.7
9038,3958,29:20.3
3894,5866,04:52.4
8750,4439,44:05.3
2247,7533,52:21.1
6231,8951,25:00.0
9807,4677,03:48.4
243,9597,46:18.5
960,9034,57:40.1
3677,3028,13:14.5
2263,9207,17:50.6
9258,1630,42:00.2
5587,9855,21:31.2
2011,8365,12:56.4
1413,5968,17:56.7
772,3274,41:57.8
6490,8643,22:49.6
8609,6177,44:47.9
410,1793,11:43.4
7781,3730,32:20.6
4179,6130,16:06.5
330,4353,27:06.9
1841,7086,22:21.2
7946,7815,26:10.5
7282,2073,18:40.1
4014,3863,48:17.7
6888,9548,55:03.4
7492,4666,02:50.8
3241,6385,47:09.5
4994,6258,06:42.8
9497,7726,15:54.5
8514,9446,19:17.4
7232,9940,28:16.0
6003,2648,10:13.9
4701,9713,53:20.9
7688,3784,09:05.4
1933,9903,09:44.0
2923,3574,34:19.9
6936,9077,32:57.4
243,4444,06:59.1
590,6388,49:59.8
7854,9227,06:06.0
2357,3363,39:34.6
7140,1870,03:31.6
6714,4732,02:49.9
47,8013,32:30.6
8603,9877,41:40.7
7627,3903,52:44.6
52,1709,59:26.8
218,6896,40:15.8
8617,3643,54:23.0
8980,1396,39:59.9
4532,7985,20:49.4
1538,6127,00:26.5
1723,6222,22:17.5
4341,9167,59:36.4
6878,2632,47:09.7
5578,3763,05:01.6
7509,5172,55:47.8
640,1490,35:00.9
7647,1341,44:26.2
2734,5608,00:40.6
8085,5170,01:48.7
8218,8616,42:30.2
2793,8717,53:14.6
8258,1871,47:56.2
78,6753,20:04.6
9574,1166,19:56.0
7859,3193,50:13.9
5145,2855,38:36.5
8298,1045,36:01.9
7756,8924,24:07.8
3957,1979,17:45.6
5352,9181,39:17.3
6283,7518,03:44.6
1332,9940,41:43.2
8514,8493,40:25.6
580,9382,35:09.9
535,7676,13:00.9
9271,6855,01:11.7
9878,2050,54:01.0
6212,7036,21:22.9
2790,5241,41:20.2
53,6665,00:55.9
9997,8974,18:34.8
1797,6190,14:43.4
6391,7184,00:14.1
5173,3765,30:10.2
1361,8379,06:00.0
9560,9005,51:51.9
2901,3284,51:25.1
5221,7441,43:18.9
7467,9121,22:23.1
9384,3238,29:22.8
7908,4827,52:10.2
4792,9455,30:22.5
5453,3612,19:42.2
4570,5571,10:27.3
4788,1050,33:46.0
2645,8300,00:23.1
3488,1744,37:48.4
2592,2040,34:26.1
3568,4557,01:00.0
8165,5913,17:15.5
3120,9572,24:59.1
2777,8274,46:24.5
2368,5613,21:53.7
9665,9327,36:29.1
706,2516,01:40.6
5134,9784,01:31.0
1226,7531,05:20.8
4777,6600,16:18.5
2152,7965,33:40.6
2741,4132,41:56.1
6024,2629,15:55.7
3871,5668,38:38.8
869,4139,26:11.2
3479,3824,57:26.5
9425,9272,57:00.8
4753,8817,23:38.9
8357,9373,53:24.1
2739,5868,19:16.9
9978,8858,38:23.9
9716,9497,18:50.9
9816,9884,51:23.7
9682,8826,09:18.6
5130,8549,44:37.7
1828,9318,51:18.5
9876,1628,41:09.4
586,8547,33:45.6
8245,8056,18:53.8
7601,5421,50:28.9
593,6519,36:25.5
8056,6709,00:40.8
9891,6084,00:28.0
9748,7630,15:27.9
7204,8410,54:24.4
4660,6349,05:18.3
6479,7794,06:05.1
9990,5857,00:03.8
9552,2108,05:59.0
9436,1589,14:50.5
6967,9257,02:39.1
6897,1272,11:57.3
1846,1523,28:02.9
7811,4519,49:04.9
2827,3050,58:14.3
1234,8518,45:20.2
1389,2228,14:53.0
3034,8488,33:37.6
8451,3123,37:17.4
873,2314,45:48.4
3932,4531,13:56.2
880,4750,07:42.0
1728,4163,02:14.6
4937,3277,27:52.8
5890,9899,08:12.0
520,1259,13:00.1
3578,1750,54:30.2
7764,6396,53:08.6
5272,4375,35:33.4
3606,1483,30:35.5
5338,8911,29:48.2
6596,2724,56:43.1
9183,3869,09:52.1
1281,2137,01:16.4
5581,5297,57:03.0
6254,5223,02:39.1
6932,9097,31:17.2
5037,6793,32:41.2
2574,4131,48:47.1
1689,5872,38:20.8
9604,6002,50:23.6
7190,3469,23:07.5
2637,2787,34:22.9
4589,7989,37:56.4
4781,6097,11:27.4
9868,9084,25:41.0
830,9057,27:32.5
9062,1710,56:24.8
2097,6883,51:38.7
7561,4479,57:19.0
7048,3630,34:26.7
7534,8633,45:23.1
1128,6376,44:27.4
163,6017,12:47.9
8228,2988,43:12.8
7003,5713,20:00.3
5828,3157,14:27.3
8103,7324,46:40.2
9420,2379,02:16.8
5498,7813,24:30.0
9795,7664,58:57.9
9490,6101,35:12.2
9729,4365,53:24.5
5782,2408,21:10.1
511,7455,04:42.5
1488,2004,05:08.4
6303,2495,58:28.6
1759,8142,10:38.7
4075,3918,23:50.2
9396,8366,37:24.5
8576,7348,15:18.7
1119,4068,50:39.3
7700,4641,54:56.3
9050,7712,10:11.8
8159,7906,16:23.1
9470,6706,09:12.4
9458,5602,52:37.1
7311,2866,48:18.4
3003,6964,32:15.4
3998,4087,26:25.0
4372,4774,04:41.1
7057,2971,54:14.7
850,2683,27:23.6
2615,3096,45:25.3
9329,3153,47:49.9
9387,5990,37:53.7
2953,1634,33:57.5
1939,7159,58:01.3
5374,2898,51:58.3
2236,2567,50:29.2
2288,7325,10:47.8
3524,8467,12:07.7
8289,5234,06:05.0
466,5159,42:15.6
593,8132,16:27.1
5596,5279,11:48.8
6552,3525,24:36.9
7579,4237,48:40.4
9530,4942,20:01.3
5895,2074,02:42.7
6840,2784,14:13.8
3380,6899,14:12.3
3524,8659,21:02.4
196,2154,53:15.4
9749,1820,49:23.9
5090,6446,30:03.6
961,2221,50:19.2
1060,1394,28:33.7
1410,2265,19:12.4
5886,6371,54:14.4
7220,7955,48:57.5
1483,2327,26:47.9
