worker_ref_id,worker_title,affected_from
1493,Asst. Manager,49:51.2
6949,Director,16:01.1
8953,Lead,06:12.3
7891,Lead,47:42.4
830,Lead,42:40.2
6010,Lead,34:29.4
6499,Asst. Manager,15:07.1
9350,Manager,06:54.9
5439,Director,49:58.7
1655,Executive,51:29.2
267,Manager,20:15.5
5065,Manager,45:08.3
8307,Executive,43:58.1
5123,Director,41:26.7
8529,Executive,03:31.2
967,Lead,32:03.8
9428,Lead,06:42.6
2301,Asst. Manager,28:56.9
8934,Manager,36:37.8
6590,Director,16:36.7
379,Manager,45:12.3
8313,Director,11:33.8
7179,Manager,38:06.9
1052,Lead,06:41.6
9242,Executive,52:10.8
1958,Asst. Manager,24:40.6
5702,Manager,25:42.0
915,Executive,46:14.1
3666,Asst. Manager,33:21.5
8903,Manager,40:28.4
2429,Lead,11:29.7
3861,Asst. Manager,33:17.5
9422,Asst. Manager,20:37.1
638,Asst. Manager,40:19.9
7479,Director,24:26.5
440,Executive,11:59.5
6178,Asst. Manager,20:51.6
2415,Executive,36:14.4
6771,Asst. Manager,40:36.1
8318,Manager,21:26.5
6035,Lead,42:16.2
5737,Executive,25:24.3
2926,Executive,58:05.9
5788,Director,24:25.6
5069,Asst. Manager,27:15.3
9185,Asst. Manager,37:09.6
2465,Lead,02:22.1
5461,Executive,38:55.5
8925,Manager,59:45.0
3877,Asst. Manager,12:04.6
4845,Manager,12:18.3
5825,Manager,12:18.8
6596,Manager,33:08.4
6790,Manager,50:31.4
514,Executive,19:11.0
9934,Asst. Manager,06:16.4
8771,Asst. Manager,21:41.4
6452,Asst. Manager,01:53.4
296,Lead,44:56.8
3159,Asst. Manager,38:12.9
9337,Director,25:17.2
256,Director,03:59.9
6580,Asst. Manager,46:24.9
4005,Executive,44:25.8
2828,Asst. Manager,27:02.1
4643,Manager,46:34.3
7961,Manager,46:02.3
4514,Lead,33:47.4
6870,Manager,59:07.2
244,Director,38:04.3
5569,Executive,02:23.0
7599,Lead,32:34.8
1449,Executive,37:19.4
4646,Director,57:14.2
2576,Asst. Manager,56:42.8
590,Lead,50:20.8
9310,Manager,44:33.7
5405,Lead,56:38.0
5251,Manager,03:46.0
3524,Director,43:22.7
3230,Asst. Manager,06:47.4
3677,Executive,43:42.8
8488,Asst. Manager,09:09.6
7584,Executive,16:08.9
2767,Executive,46:15.7
8297,Executive,27:17.9
7181,Director,11:19.7
9464,Asst. Manager,50:45.1
4957,Executive,20:59.2
7343,Asst. Manager,16:12.2
2186,Asst. Manager,14:00.7
1287,Lead,02:57.1
9502,Director,06:02.6
9878,Asst. Manager,05:53.1
9656,Director,11:11.4
4121,Lead,02:56.9
5475,Lead,49:35.4
5563,Executive,54:13.4
8476,Manager,51:28.3
5319,Lead,50:13.6
4950,Director,16:19.2
2351,Director,14:19.4
3733,Executive,50:16.9
8111,Manager,02:27.0
4404,Executive,15:31.3
9649,Executive,45:45.1
5009,Director,59:40.3
8520,Executive,05:51.4
6149,Manager,14:12.3
4864,Asst. Manager,48:39.4
6723,Lead,03:04.8
3700,Lead,29:00.5
8341,Director,54:40.2
5636,Director,07:27.0
3961,Manager,17:05.7
5222,Executive,32:32.6
5788,Asst. Manager,31:34.5
1886,Director,39:29.6
3175,Asst. Manager,22:23.7
6864,Executive,01:11.4
260,Executive,39:42.9
7834,Asst. Manager,37:57.2
6463,Director,45:19.0
8417,Executive,10:32.6
4928,Asst. Manager,46:16.6
4523,Asst. Manager,41:42.1
1722,Director,00:45.6
9560,Lead,01:45.5
8434,Executive,39:26.7
7755,Director,23:43.4
1576,Asst. Manager,56:55.0
3127,Lead,28:31.1
5639,Lead,44:32.7
7820,Lead,40:23.3
6807,Asst. Manager,12:29.3
9890,Asst. Manager,04:19.1
6371,Director,22:35.1
4540,Manager,00:42.8
2822,Executive,11:05.6
9474,Lead,39:33.9
3982,Executive,25:20.5
6197,Lead,30:02.9
956,Asst. Manager,00:02.2
849,Director,02:23.6
3234,Asst. Manager,43:33.9
734,Lead,08:26.9
4359,Asst. Manager,03:48.6
4752,Director,22:22.7
932,Asst. Manager,05:51.5
3623,Lead,03:38.2
9227,Executive,31:11.5
38,Manager,09:40.1
6674,Manager,51:50.9
1679,Asst. Manager,55:17.3
7823,Lead,23:05.8
1726,Manager,31:12.5
5443,Executive,41:02.0
181,Director,49:57.1
7637,Executive,33:10.5
1664,Director,59:42.6
2273,Asst. Manager,45:10.3
8660,Asst. Manager,23:55.5
103,Lead,17:54.1
1360,Director,45:47.4
220,Asst. Manager,47:39.1
300,Director,52:51.9
5609,Manager,29:44.9
9745,Executive,00:45.9
6025,Manager,03:59.4
8185,Asst. Manager,55:31.9
6389,Executive,31:03.8
5658,Executive,37:34.8
7798,Asst. Manager,19:14.4
2862,Asst. Manager,08:03.3
4441,Manager,05:57.6
706,Asst. Manager,33:07.3
4150,Executive,08:46.9
1168,Asst. Manager,14:42.7
6143,Director,42:00.6
1726,Director,16:59.3
9384,Executive,01:18.3
2305,Director,18:22.9
5837,Asst. Manager,04:33.9
9814,Manager,08:51.3
9179,Director,25:51.0
7275,Asst. Manager,28:54.9
6996,Lead,54:24.5
9199,Manager,38:39.2
1120,Manager,09:54.0
3351,Asst. Manager,29:35.0
6017,Asst. Manager,25:23.6
3871,Director,49:51.7
8312,Executive,59:36.8
6830,Asst. Manager,33:30.6
3338,Manager,44:15.2
5971,Manager,31:00.5
7836,Director,23:44.8
1643,Executive,51:03.5
4728,Manager,09:03.1
7006,Lead,53:20.6
2213,Executive,34:05.6
705,Manager,10:17.1
6843,Asst. Manager,17:08.8
7465,Asst. Manager,05:50.2
8607,Director,39:12.6
9964,Executive,25:32.0
7368,Manager,59:32.3
8588,Executive,07:47.5
9693,Asst. Manager,06:48.1
5707,Lead,24:30.7
6977,Executive,23:15.9
1407,Manager,47:16.4
6052,Lead,43:13.4
3523,Director,51:36.3
3330,Lead,17:04.1
8785,Asst. Manager,50:08.7
496,Manager,20:28.0
6336,Manager,42:50.3
6664,Manager,10:26.0
8473,Director,20:13.4
9401,Lead,49:19.1
841,Director,39:01.4
5428,Asst. Manager,16:48.6
7596,Manager,28:00.4
2313,Director,24:51.0
2040,Asst. Manager,47:57.8
19,Asst. Manager,08:41.8
5175,Asst. Manager,38:26.4
4222,Lead,50:09.8
9066,Lead,01:53.3
4173,Executive,08:38.7
9544,Executive,17:41.5
7295,Asst. Manager,45:57.1
7,Asst. Manager,13:16.7
2211,Manager,45:10.6
7319,Manager,33:03.9
481,Manager,02:45.8
6225,Lead,50:36.2
6600,Executive,17:12.9
6969,Manager,41:27.9
2234,Manager,30:49.8
8352,Executive,31:24.6
8680,Director,17:53.7
1495,Asst. Manager,24:45.1
4735,Manager,59:13.0
9578,Lead,22:44.4
776,Executive,52:49.3
5196,Lead,22:14.3
6049,Manager,21:57.3
9228,Director,48:15.6
9614,Executive,29:39.9
3581,Director,19:11.3
7190,Manager,16:49.9
6586,Executive,14:42.3
2011,Lead,26:00.7
8164,Asst. Manager,34:35.3
3374,Lead,13:21.0
7268,Asst. Manager,53:03.7
2678,Manager,52:49.7
1651,Manager,31:34.3
2812,Asst. Manager,49:37.1
2863,Director,05:39.4
8027,Manager,07:20.1
2414,Director,08:40.9
7293,Asst. Manager,59:47.9
1875,Director,56:30.9
4795,Lead,38:44.4
1601,Asst. Manager,11:36.5
1559,Asst. Manager,43:25.1
2651,Manager,14:51.0
6444,Manager,21:57.1
2540,Lead,35:45.1
4909,Manager,20:29.7
5344,Executive,54:31.6
9481,Manager,39:39.5
5053,Lead,36:46.2
1438,Director,57:39.7
6487,Executive,18:11.1
6699,Executive,31:53.2
2919,Asst. Manager,40:09.1
2165,Director,13:04.3
1343,Asst. Manager,44:27.9
8231,Manager,23:49.1
6057,Lead,29:42.3
5470,Manager,39:35.5
1920,Lead,24:16.2
8356,Lead,42:20.5
8207,Executive,04:01.3
8681,Executive,58:04.9
5902,Director,20:41.4
8176,Director,00:42.7
9211,Asst. Manager,55:22.1
2796,Lead,14:54.4
8131,Asst. Manager,45:52.1
1481,Director,09:02.3
4806,Director,27:26.8
5581,Executive,11:33.3
8997,Lead,38:01.7
8542,Lead,07:23.1
2389,Manager,15:02.1
3071,Manager,21:01.7
6053,Executive,20:59.0
3945,Lead,02:37.8
6981,Manager,02:42.7
3713,Lead,20:03.3
8023,Manager,26:52.3
2244,Manager,24:54.5
2088,Executive,26:44.0
1565,Manager,57:34.4
9525,Executive,54:56.4
3826,Manager,31:20.3
2472,Executive,16:43.1
1355,Executive,54:14.3
886,Manager,28:23.6
5143,Asst. Manager,51:01.8
6720,Director,32:52.1
7111,Executive,01:24.5
2235,Asst. Manager,41:06.3
1738,Manager,34:03.3
6334,Manager,49:48.4
9429,Asst. Manager,15:21.0
2463,Director,00:16.9
9105,Lead,07:51.3
6132,Director,38:11.1
4172,Executive,28:55.0
6280,Manager,25:57.5
2085,Executive,33:05.7
6616,Director,09:28.5
8466,Director,24:25.9
8063,Executive,58:49.4
8847,Lead,15:31.9
8153,Asst. Manager,25:49.0
1275,Lead,03:48.5
7418,Asst. Manager,40:45.4
4173,Executive,58:01.3
32,Asst. Manager,04:54.1
5467,Manager,07:35.6
2974,Director,30:21.7
290,Asst. Manager,11:51.0
2301,Director,09:41.9
2390,Director,28:13.7
9955,Executive,23:13.4
9801,Manager,46:50.3
2447,Manager,15:39.3
3405,Asst. Manager,33:14.7
9414,Executive,31:36.0
5126,Director,10:06.8
9712,Manager,23:36.8
3678,Manager,14:21.5
8691,Executive,26:58.1
5375,Manager,31:32.3
3646,Lead,31:29.5
8399,Lead,36:56.7
9675,Asst. Manager,21:19.2
957,Executive,16:27.5
8952,Asst. Manager,40:56.1
6114,Director,33:25.0
8300,Director,15:46.8
3045,Executive,43:21.1
5329,Asst. Manager,25:36.7
1641,Manager,41:33.2
1947,Lead,02:07.3
2580,Manager,15:33.1
122,Director,56:02.5
2050,Manager,46:50.2
3518,Manager,11:27.3
5266,Lead,37:14.1
9876,Manager,47:49.2
6925,Lead,45:13.9
1056,Director,17:36.3
2568,Manager,36:32.4
9993,Executive,46:47.4
990,Lead,25:55.9
8409,Director,06:52.6
4681,Director,37:07.5
275,Asst. Manager,29:48.8
2944,Manager,42:48.7
8742,Asst. Manager,27:01.2
1234,Manager,19:38.2
1108,Director,21:37.3
4187,Director,31:18.2
6591,Asst. Manager,48:54.4
9898,Asst. Manager,01:45.8
6999,Lead,13:32.5
4766,Lead,37:16.9
8774,Manager,23:38.1
5290,Director,51:20.0
6301,Manager,26:56.3
2878,Lead,46:50.8
6716,Executive,18:15.7
6189,Director,54:48.7
1486,Executive,14:24.8
1681,Asst. Manager,46:15.7
2872,Executive,21:41.4
4751,Director,20:20.0
9923,Director,21:38.5
3496,Director,13:21.6
7868,Lead,29:02.4
6767,Manager,40:59.2
3137,Executive,29:30.4
7214,Lead,32:52.2
4580,Director,09:27.7
7437,Manager,19:17.7
9238,Manager,43:40.6
2852,Director,17:56.5
3953,Asst. Manager,29:11.9
3861,Manager,32:15.8
7813,Director,18:54.6
9717,Manager,53:20.7
1612,Executive,04:04.2
4715,Manager,34:26.1
8883,Lead,41:31.7
1185,Director,37:45.7
2167,Executive,55:43.2
576,Manager,54:49.8
1849,Director,37:21.6
4295,Director,57:22.5
1156,Manager,50:09.2
4329,Lead,09:40.3
7427,Manager,50:40.2
7995,Executive,58:16.9
8439,Lead,53:52.7
6090,Executive,34:32.9
8693,Asst. Manager,00:21.3
8392,Executive,27:10.1
964,Asst. Manager,20:53.4
6884,Executive,14:44.4
2653,Executive,23:01.6
214,Lead,12:49.8
2147,Lead,43:43.2
8633,Manager,03:36.0
4562,Director,41:19.1
4795,Asst. Manager,49:17.3
5346,Executive,49:24.1
6127,Asst. Manager,19:43.2
9695,Manager,18:40.5
732,Lead,34:30.5
1114,Lead,58:31.4
2892,Asst. Manager,48:06.8
2871,Lead,04:27.1
3386,Executive,21:24.5
479,Director,35:28.9
5077,Manager,19:18.0
2237,Manager,15:42.9
1722,Asst. Manager,20:15.6
8492,Director,31:48.2
8746,Asst. Manager,18:34.3
6151,Executive,15:43.4
5363,Manager,57:48.3
4102,Asst. Manager,47:23.5
6869,Manager,17:25.9
999,Director,55:14.8
8328,Director,40:04.4
978,Director,24:05.4
5190,Lead,17:46.9
7781,Lead,00:20.2
8769,Manager,38:56.5
967,Executive,08:33.5
8689,Director,35:56.3
9531,Executive,02:54.3
456,Lead,19:06.0
5848,Lead,32:26.5
5539,Manager,39:43.5
7414,Director,46:58.8
8979,Lead,51:14.9
324,Lead,36:43.5
6593,Manager,56:50.5
4805,Director,00:04.9
921,Director,26:12.0
7315,Director,06:52.9
8025,Executive,22:35.2
1940,Asst. Manager,53:57.0
3856,Manager,09:59.1
4287,Executive,05:39.5
2242,Executive,03:23.6
2174,Executive,25:50.8
2845,Director,19:27.6
9296,Director,39:32.0
1271,Asst. Manager,14:29.9
8733,Manager,14:28.6
9548,Executive,10:38.8
3340,Lead,00:45.9
2260,Executive,11:40.2
3254,Lead,54:31.9
1440,Director,23:25.1
1295,Lead,27:07.4
7784,Executive,28:58.8
5366,Manager,30:45.7
9669,Director,53:25.5
1242,Director,23:55.1
639,Asst. Manager,29:58.1
8741,Executive,31:55.1
1681,Manager,57:39.9
9435,Lead,14:18.4
6640,Director,12:05.1
6095,Lead,08:41.6
1372,Executive,10:32.5
6150,Director,07:46.3
7187,Asst. Manager,50:55.1
7318,Manager,31:23.0
5675,Director,24:41.7
9175,Director,06:45.0
4111,Manager,01:13.6
8631,Asst. Manager,33:06.5
7254,Asst. Manager,52:21.5
6094,Executive,46:00.2
8181,Manager,44:22.9
4058,Executive,09:05.5
639,Asst. Manager,45:24.4
4674,Asst. Manager,18:04.4
1808,Lead,38:08.0
5551,Manager,28:33.7
8129,Asst. Manager,53:29.8
8282,Director,22:51.9
1919,Executive,19:48.8
7628,Asst. Manager,47:59.0
207,Manager,33:32.9
7553,Executive,55:34.5
8101,Director,03:53.5
2883,Asst. Manager,20:26.8
822,Asst. Manager,10:17.0
4935,Executive,27:41.1
7983,Lead,42:26.7
3790,Asst. Manager,21:53.7
9523,Director,35:09.4
2415,Director,59:06.1
1449,Asst. Manager,29:54.2
3163,Asst. Manager,03:01.4
9355,Lead,52:19.8
705,Director,38:59.1
3860,Executive,55:47.2
5087,Lead,45:08.2
4804,Manager,13:14.1
7602,Manager,12:03.0
3096,Manager,42:42.3
6694,Lead,03:06.3
8853,Executive,16:50.4
4189,Director,35:16.8
4183,Asst. Manager,58:42.1
4646,Lead,07:43.6
1120,Executive,46:40.0
6421,Executive,57:23.4
7898,Manager,10:02.4
6491,Manager,16:11.2
6505,Manager,31:42.5
3342,Manager,05:20.1
7169,Asst. Manager,52:11.5
3902,Executive,00:06.2
4760,Lead,32:39.8
7918,Asst. Manager,59:53.3
5326,Asst. Manager,35:25.6
8787,Asst. Manager,30:41.3
617,Asst. Manager,57:19.4
558,Manager,46:10.6
2318,Lead,15:46.9
336,Director,04:05.0
4751,Lead,14:35.6
9910,Asst. Manager,24:58.3
9286,Asst. Manager,19:38.9
1857,Director,07:41.0
8916,Manager,10:12.2
2847,Executive,29:56.1
7841,Executive,46:04.3
9054,Director,09:20.1
1622,Asst. Manager,50:46.9
569,Director,07:52.5
3705,Executive,53:40.0
2270,Director,47:57.2
8001,Manager,21:01.6
9370,Executive,35:13.2
2071,Manager,12:15.8
3676,Lead,13:18.8
2698,Manager,39:37.7
4949,Lead,48:30.6
1884,Manager,26:57.9
7661,Lead,54:00.6
8215,Lead,52:47.6
6079,Asst. Manager,26:02.3
494,Lead,39:25.6
4617,Lead,52:16.9
3181,Asst. Manager,28:59.4
9442,Manager,19:51.0
9918,Manager,58:33.2
722,Lead,04:26.4
8957,Lead,20:19.7
9606,Director,23:21.6
1597,Lead,46:14.0
2672,Executive,01:46.1
5309,Lead,09:08.6
847,Lead,02:35.9
3592,Manager,36:09.0
6410,Asst. Manager,01:37.2
9530,Executive,36:19.5
2871,Executive,32:43.5
4768,Lead,32:27.8
3414,Lead,20:38.0
359,Manager,05:13.9
7099,Lead,13:43.8
7465,Executive,38:44.4
2123,Asst. Manager,33:22.1
7889,Asst. Manager,01:04.2
8194,Asst. Manager,35:54.3
1119,Manager,33:36.3
4652,Director,32:44.4
9474,Lead,18:24.6
1537,Director,57:23.1
1603,Asst. Manager,00:42.8
91,Director,38:13.7
3824,Lead,36:01.5
4863,Lead,06:34.2
1378,Director,17:49.0
581,Executive,22:47.9
3427,Manager,35:19.5
4212,Lead,08:33.5
8277,Lead,15:11.7
1173,Director,23:20.4
6927,Manager,11:24.4
3752,Manager,50:12.2
5258,Director,12:37.7
127,Lead,57:21.1
6189,Lead,39:32.2
7229,Lead,39:20.9
888,Director,34:54.5
9614,Executive,29:04.8
955,Director,13:15.3
1100,Executive,10:02.2
9005,Asst. Manager,25:09.4
3276,Manager,00:36.7
4028,Director,15:28.9
9648,Asst. Manager,41:58.3
5989,Executive,31:29.7
5436,Lead,59:56.9
172,Lead,36:41.1
3975,Executive,35:45.7
3155,Manager,04:39.1
3042,Asst. Manager,32:14.4
4196,Manager,19:17.5
5116,Executive,42:23.6
8638,Director,54:51.3
2942,Manager,22:45.9
6195,Executive,48:36.0
9342,Executive,53:40.6
2272,Lead,17:06.2
8935,Lead,19:51.2
6182,Asst. Manager,32:43.5
1345,Executive,08:34.8
9926,Asst. Manager,01:31.9
5914,Executive,42:21.1
6831,Executive,00:55.8
9773,Manager,29:22.8
2376,Executive,38:49.8
9772,Manager,29:55.7
9591,Manager,31:15.8
3057,Manager,22:45.1
1681,Lead,09:18.2
7391,Manager,17:13.5
7923,Asst. Manager,41:47.4
8009,Lead,57:59.3
2310,Lead,33:16.1
4489,Director,56:40.7
7418,Asst. Manager,41:39.8
8911,Lead,21:34.0
1608,Manager,51:20.0
1932,Director,18:27.2
1749,Executive,20:52.4
3242,Lead,21:53.1
5971,Lead,43:08.8
1457,Lead,06:30.9
2899,Lead,33:25.5
1301,Lead,08:31.7
5598,Asst. Manager,41:39.6
7287,Executive,01:43.0
3374,Lead,38:00.4
3032,Director,04:33.7
6650,Executive,09:00.9
3180,Executive,20:38.2
4801,Director,15:47.5
291,Manager,33:57.0
8260,Executive,53:10.9
1467,Manager,17:40.0
632,Asst. Manager,35:22.6
6638,Asst. Manager,37:24.0
9459,Manager,52:50.3
3405,Executive,40:34.7
6724,Manager,37:18.6
2479,Manager,48:00.1
2684,Manager,39:45.6
8959,Executive,51:02.7
292,Asst. Manager,12:50.1
1115,Manager,52:05.9
3653,Manager,44:20.7
1068,Executive,07:58.8
5349,Executive,41:58.4
4545,Director,48:28.5
4701,Asst. Manager,56:40.2
1686,Executive,48:44.3
1393,Director,53:18.2
4690,Lead,29:19.3
2033,Lead,00:35.8
9145,Manager,40:03.0
8331,Director,46:21.1
7878,Manager,45:48.8
4339,Asst. Manager,48:23.9
9974,Asst. Manager,55:19.7
5266,Director,09:18.1
5645,Manager,04:00.5
6292,Manager,09:17.8
